"ward","total_households","total_individuals","target","dw_00","dw_01","dw_02","dw_03","dw_04","dw_05","dw_06","dw_07","dw_08","dw_09","dw_10","dw_11","dw_12","dw_13","psa_00","psa_01","psa_02","psa_03","psa_04","stv_00","stv_01","car_00","car_01","lln_00","lln_01","lan_00","lan_01","lan_02","lan_03","lan_04","lan_05","lan_06","lan_07","lan_08","lan_09","lan_10","lan_11","lan_12","lan_13","lan_14","pg_00","pg_01","pg_02","pg_03","pg_04","lgt_00","pw_00","pw_01","pw_02","pw_03","pw_04","pw_05","pw_06","pw_07","pw_08","ADM4_PCODE","lat","lon","NL"
"74201029: Ward 29",5009.03772,16210.89218,27.8465491372,0.4915813511,0.0038522249,0.0079061812,0.0013364922,0.005387997,0.0079619824,0.0748464018,0.2174919318,0.1637853188,0.0210583281,0,0.0047917906,0,0,0.2427530463,0.5963540885,0.0002175728,0.0419610397,0.1187142527,0.1826582272,0.8173417728,0.1189718372,0.8810281628,0.0471658297,0.9528341703,0.0142334671,0.0163266942,0.0036762363,0.0753371379,0.1568225704,0.0084937811,0.670677112,0.0219332931,0.0121086426,0.0017696497,0.0016652261,0.0052761137,0.0044627063,0,0.0072173696,0.9879907214,0.0047196539,0.0010225298,0.0010800312,0.0051870637,0.9731398749,0.3134165478,0.4998044754,0.1308622607,0.048595218,0.0046990243,0.0002261293,0.0023963445,0,0,"ZA7421029",-26.5495076201,27.8530580839,43.0628051554
"74201030: Ward 30",3218.73389,12319.56676,22.4321622935,0.8780813688,0.0017729549,0.0008108343,0.0004589289,0.0006588181,0.0026735077,0.0184380604,0.0211414837,0.073303963,0.0007038109,0,0.0019562692,0,0,0.2669614747,0.6103845238,0.0016404262,0.0254078659,0.0956057094,0.3497730563,0.6502269437,0.2614439866,0.7385560134,0.1000878081,0.8999121919,0.020390821,0.0291857301,0.0037452145,0.0694678179,0.1137819923,0.0124525718,0.70579559,0.0166010229,0.0089548295,0.0019076791,0.0019683501,0.0092545251,0.0064938558,0,0,0.9952859,0.0010351078,0.0011589783,0.0022025499,0.0003174641,0.9092781044,0.7106307288,0.2207978399,0.056649169,0.0084452586,0.0016350963,0,0.0018419075,0,0,"ZA7421030",-26.5664791706,27.7934934907,26.0419092673
"74201031: Ward 31",2819.70227,11706.84435,12.2674107717,0.9712722294,0.0012401983,0,0.0004017055,0,0.0005238745,0.011252688,0.0050322476,0.0053192105,0.0021460244,0,0.0028118217,0,0,0.3728929368,0.4945704399,0.0027709124,0.0379454682,0.0918202427,0.7265547791,0.2734452209,0.5655242601,0.4344757399,0.3258207577,0.6741792423,0.009882565,0.0201491275,0.0028873417,0.0622803847,0.1266462179,0.0164386263,0.6850405156,0.0431708234,0.012139736,0.0004077264,0.0062170341,0.0063055037,0.0041633918,0,0.0042710058,0.996489106,0.0003962024,0.0007761332,0,0.0023385585,0.9955034792,0.9468771148,0.0490241191,0.0004017055,0.0003819517,0.0012006906,0,0.0021144183,0,0,"ZA7421031",-26.586478229,27.8464288116,40.2369706346
"74201032: Ward 32",3178.36286,11664.00856,27.0336593978,0.877338461,0,0.0003563753,0,0,0.0003874982,0.0209167118,0.0917227525,0.0007749965,0.0047235293,0,0.0037796754,0,0,0.2583577022,0.6168755066,0.0003964066,0.0264056151,0.0979647695,0.2786879595,0.7213120405,0.1610386455,0.8389613545,0.1183422556,0.8816577444,0.01221311,0.0113107101,0.0042180799,0.0280997762,0.0683997552,0.0082721647,0.807917755,0.029175337,0.0172636079,0.0009703388,0.0001952691,0.0019952129,0.0089400775,0,0.0010288058,0.9939180309,0.0004770736,0.0006677001,0.0004105553,0.0045266402,0.992248673,0.5659168727,0.4280614832,0,0.0006671863,0,0,0.0053544579,0,0,"ZA7421032",-26.5778026324,27.8319986996,37.1116638105
"74201033: Ward 33",4293.06446,15877.61511,24.4776897666,0.8473890839,0.0008948084,0.00216495,0.0003440829,0.0003440829,0,0.0332301952,0.0845461053,0.0238408696,0.0006309665,0,0.0066148553,0,0,0.2667762942,0.6128685519,0.0007946622,0.0201764785,0.0993840132,0.2734709509,0.7265290491,0.1734580547,0.8265419453,0.0915784106,0.9084215894,0.0082309584,0.0071115636,0.0033796549,0.1096730698,0.1869112477,0.007148258,0.6289656337,0.0154964639,0.0148989731,0.0018180709,0.0013149343,0.0073172173,0.0074820273,0,0.000251927,0.9930968972,0.0021044659,0.0001635019,0.0011866146,0.0034485204,0.9685061007,0.690298708,0.2809189266,0.0112470964,0.0013185849,0.0110060332,0.0023195832,0.0028910677,0,0,"ZA7421033",-26.5643064191,27.835555059,38.5416515041
"74201034: Ward 34",3057.04054,11861.51921,21.302522537,0.9205621787,0,0.0003705185,0,0,0.0022047827,0.0173460604,0.0537633433,0.0012565977,0.0003413661,0,0.0041551526,0,0,0.3108936659,0.5707100044,0.0032153158,0.0184041627,0.0967768512,0.3412181508,0.6587818492,0.2426377277,0.7573622723,0.1380863598,0.8619136402,0.0122710361,0.0086985072,0.0036840239,0.084897013,0.131745323,0.0150597674,0.6796811393,0.0229676313,0.0261272106,0.0011728304,0.0029306372,0.0072404646,0.0035244162,0,0,0.9948572557,0.0021266711,0.0010943033,0.0001082914,0.0018134785,0.994354998,0.697007479,0.2980888863,0.0024120387,0.0021502299,0,0,0.0003413661,0,0,"ZA7421034",-26.5718627686,27.8474900888,40.6331588927
"74201035: Ward 35",2988.22016,11322.23364,22.9588709421,0.8538448787,0.0003790517,0.0003790517,0,0.0012039709,0.0029459509,0.0308989783,0.0987115287,0.0011404347,0.0036736216,0.0008733828,0.00594915,0,0,0.2587104889,0.6120388812,0,0.031529534,0.097721096,0.294621053,0.705378947,0.2025660318,0.7974339682,0.1127302213,0.8872697787,0.0183794803,0.0135147635,0.0050781764,0.0653258044,0.1284650385,0.0127107614,0.6968846423,0.0270017445,0.0166362615,0.0017356619,0.0014882982,0.0066836989,0.0060956682,0,0,0.9928026604,0.0029616497,0.0006878554,0.0004389796,0.0031088548,0.9872580741,0.5773303999,0.4177123917,0.0003790517,0.0011371552,0.0003790517,0,0.0030619498,0,0,"ZA7421035",-26.5756629355,27.8417378536,39.3024017467
"74201036: Ward 36",7036.63324,22178.727,20.241948975,0.3878328921,0.0018699312,0.0104453064,0.0021271323,0.0001609704,0.0005808218,0.0056867679,0.048432871,0.5374474171,0.0001750283,0.000384954,0.0048559075,0,0,0.2748939612,0.5859774053,0.0004754164,0.0276689158,0.1109843013,0.2238397649,0.7761602351,0.2118278798,0.7881721202,0.0873057269,0.9126942731,0.0144634735,0.0203939216,0.0047611087,0.0815738419,0.1515658045,0.0200696492,0.6392772376,0.0240011354,0.0143840316,0.0028426343,0.0041232362,0.0166067687,0.0034122148,0,0.002524942,0.9870605833,0.0055095732,0.00081935,0.001496603,0.0051138904,0.3901403507,0.3766449706,0.0417253081,0.2768490986,0.1317820822,0.0871214328,0.0485999893,0.0372771183,0,0,"ZA7421036",-26.5857556682,27.8639673083,43.4865405602
"74201037: Ward 37",2951.57964,11804.31261,23.9929019838,0.8459414261,0.0005004676,0.0016020574,0,0,0.0045559096,0.052751116,0.086696529,0.0063881793,0,0,0.0015643149,0,0,0.2665346864,0.6147969458,0,0.0219048824,0.0967634853,0.2623006134,0.7376993866,0.1834660846,0.8165339154,0.0940938189,0.9059061811,0.005936826,0.0201988221,0.0034213191,0.0492199596,0.1668791098,0.010117421,0.6979572485,0.023301411,0.0081354496,9.65E-05,0.0020633222,0.0077743798,0.0048982573,0,0,0.9946879372,0.0024130283,0.000329882,0.0004155642,0.0021535883,0.9893353005,0.5409060214,0.452585152,0.0013544984,0.0005004676,0.0003837572,0,0.0042701033,0,0,"ZA7421037",-26.5555870039,27.869682247,45.0524767638
"74201038: Ward 38",4213.86852,15291.33048,18.5083152523,0.7968403343,0.0021977074,0.0034893946,0.0009351004,0.0002688005,0.0008749324,0.0171916161,0.1038487765,0.0608469246,0.003277957,0,0.0102284563,0,0,0.2682198011,0.5978135429,0,0.0307342628,0.1032323932,0.3906073083,0.6093926917,0.2818602513,0.7181397487,0.1344072145,0.8655927855,0.0117795172,0.0103370318,0.0049848259,0.0861223778,0.256635488,0.011382434,0.5638525837,0.0234499058,0.0090165169,0.0027865201,0.0018214229,0.0079611823,0.0067311599,0,0.0031390336,0.9945486104,0.0032471654,0.0003395414,0.0007137306,0.0011509522,0.9602684993,0.6883712618,0.2911340338,0.0125975098,0.0022212606,0.0005243828,0.0003505496,0.0048010017,0,0,"ZA7421038",-26.5426240579,27.8785562506,45.3967007308
"74201039: Ward 39",3867.23148,13555.11041,23.207246958,0.7968893628,0.0029917475,0.0027618802,0.0010568361,0.0006748652,0.0005857886,0.0304718661,0.1586327307,0.001539145,0.001986677,0.0003819709,0.0020271298,0,0,0.265520963,0.5818711151,0.0003254345,0.041985,0.1102974874,0.1736613527,0.8263386473,0.1076416351,0.8923583649,0.0455264111,0.9544735889,0.0338129987,0.009964076,0.0055436251,0.0907181685,0.16374656,0.0087782155,0.6359218346,0.0140986295,0.0115945821,0.0006210934,0.0032048282,0.0076503029,0.0143450857,0,0,0.9649889602,0.0300686485,0.0011490958,0.0001867038,0.0036065918,0.9895753305,0.5966903926,0.3984309649,0.0027997988,0.0005857886,0,0,0.0014930552,0,0,"ZA7421039",-26.5543011748,27.881588735,45.5700579016
"74201040: Ward 40",3396.98485,12738.91554,21.3192290216,0.9633688799,0.0004348474,0.0007974071,0.0003334398,0,0.0003625598,0.0088039162,0.017750609,0.0041869071,0.0003334398,0.0004348474,0.0031931464,0,0,0.2668449319,0.5927145357,0.0047978747,0.0382008546,0.0974418031,0.3636917221,0.6363082779,0.274124496,0.725875504,0.1192983036,0.8807016964,0.0113212525,0.0135701269,0.0051515413,0.082726224,0.1857113977,0.0125469448,0.6316603014,0.0281342787,0.0115716954,0.0034057059,0.001298963,0.0068902419,0.0060113265,0,0,0.9935880468,0.0016468144,0.0013246128,0.0006774038,0.0027631222,0.9926325135,0.9041797169,0.0905607689,0.0006668796,0.0003334398,0.0003334398,0,0.0039257549,0,0,"ZA7421040",-26.5290218447,27.8798524196,44.4981945624
"74201041: Ward 41",3625.64421,13297.56071,18.6887019452,0.8016565889,0.0030932903,0.0015619624,0.0003396941,0.0003124107,0.0003124107,0.0334386589,0.1517789772,0.0048693002,0.0004074228,0,0.0022292838,0,0,0.2755691799,0.5995606317,0.0004404334,0.0154732003,0.1089565546,0.3977251535,0.6022748465,0.275013521,0.724986479,0.0905355631,0.9094644369,0.0161597976,0.0101441176,0.0054673133,0.0763339745,0.2085030248,0.0146388525,0.5876593678,0.0356581745,0.0177526431,0.002675799,0.0061575391,0.0102641118,0.0071564509,0,0.0014288335,0.9909738566,0.0033461994,0.0007809011,0.0001931933,0.0047058495,0.988932924,0.7848796807,0.1829946988,0.0158339227,0.0129690883,0.0002970479,0.0012888468,0.0017367148,0,0,"ZA7421041",-26.5238353377,27.8691745212,44.0235852634
"74201042: Ward 42",2753.51307,8714.49988,25.3101591415,0.5147717421,0.0103382041,0.0034158799,0.0013187335,0.0009478292,0.0276456323,0.0122451462,0.3275193388,0.0982204635,0.0009837542,0.0004113618,0.0021819145,0,0,0.2537579357,0.6211914711,0.0002684032,0.015154429,0.109627761,0.2454244679,0.7545755321,0.1697921085,0.8302078915,0.0683322052,0.9316677948,0.0207146896,0.0074152746,0.0040795548,0.0782141809,0.2336269135,0.0098775192,0.5703296986,0.0226876049,0.0198493674,0.0025302737,0.0018572024,0.0149364888,0.01284847,0,0.0010327615,0.9928653783,0.005777837,0.0001489483,0.0005346446,0.0006731918,0.9852321529,0.3703397239,0.4815548815,0.0902182026,0.0135646605,0.0419436614,0,0.0023788701,0,0,"ZA7421042",-26.5404680085,27.861624071,44.3498089636
"74201043: Ward 43",5480.58532,16785.76377,21.4911745959,0.4004010032,0.0119439597,0.0032336327,0,0.0013107797,0.0201848258,0.1007349266,0.3281545319,0.1229093611,0.0080801224,0.0001904121,0.0028564449,0,0,0.2471701888,0.6101852731,0.0002073835,0.0191136653,0.1233234894,0.2100426073,0.7899573927,0.160660962,0.839339038,0.025447583,0.974552417,0.0174730893,0.0147598121,0.0092690414,0.0566803866,0.1921807369,0.0093938716,0.568603982,0.04042944,0.0101929815,0.0036769539,0.0029229167,0.0336423929,0.0406552463,0,0.0001191486,0.990864903,0.0066031413,0.0008506083,0.0005163661,0.0011649812,0.9821386249,0.2970186257,0.6873171824,0.0100601463,0.0027472686,0.0006828741,0.0002695278,0.0019043751,0,0,"ZA7421043",-26.5186569183,27.8354343176,40.0107513837
"74201044: Ward 44",6318.26903,18609.63463,26.0628772245,0.3456721548,0.012772446,0.0096612458,0.0003444393,0.0016218414,0.0113749746,0.0534129551,0.4163943396,0.141254278,0.0033456727,0.0003898568,0.0037557961,0,0,0.2487642886,0.6107807502,0.0010749942,0.0172383777,0.1221415893,0.1652227873,0.8347772127,0.1123031635,0.8876968365,0.017342435,0.982657565,0.0108186219,0.0116368749,0.0060672674,0.0685589704,0.197151638,0.0096132065,0.5829044657,0.0321526973,0.0079036323,0.0051426114,0.0026334332,0.0241503726,0.0387943705,0,0.0024718379,0.9937552277,0.003531216,0.0007672429,0.0002650251,0.0016812882,0.9794131954,0.2032794669,0.6941259464,0.0943121806,0.0061084072,0.0005991783,0,0.0015748206,0,0,"ZA7421044",-26.5302416231,27.848661156,42.6401468603
"74201045: Ward 45",3920.06705,13861.32799,6.6161592823,0.8587500283,0.0049764506,0.002964485,0.0089568315,0.0129382098,0.0018720241,0.0531557745,0.0094527465,0.0320130749,0.0058595605,0.0010425919,0.0080182225,0,0,0.2381911778,0.5883355885,0.001047909,0.0433648631,0.1290604617,0.6111654315,0.3888345685,0.7799155655,0.2200844345,0.3812212855,0.6187787145,0.5495917985,0.0848692918,0.0034609476,0.0202836438,0.0510008464,0.0092164481,0.189357812,0.0111809374,0.0031070566,0.0019244938,0.003069822,0.0033666644,0.0122164254,0,0.057353812,0.3719029998,0.0258238742,0.0138098882,0.5837323549,0.0047308829,0.9418062505,0.8546393384,0.0945410742,0.0182064896,0.0020968315,0.002171996,0.0214817499,0.0068625204,0,0,"ZA7421045",-26.6078617448,27.9068542552,46.5568994786
"74202001: Ward 1",2517.59273,7259.5937,11.4185220101,0.6411381201,0.0041821459,0.0026772043,0,0,0.0109629964,0.0367821685,0.0418817503,0.2137387051,0.0057263511,0.0186694096,0.0242411488,0,0,0.1969725964,0.6708790851,0.0009930776,0.0397017604,0.0914534804,0.2259736904,0.7740263096,0.3371468109,0.6628531891,0.1002145927,0.8997854073,0.2767832888,0.0805670626,0.0077613545,0.0526723169,0.1016702987,0.0082020541,0.3933181632,0.0124976388,0.0082096523,0.0019668112,0.0033112941,0.0088611433,0.0416994439,0,0.0024794776,0.6687696131,0.0093092042,0.0003575985,0.3137136614,0.0078499228,0.6210036403,0.3959988516,0.3301563633,0.1948226511,0.0107520488,0.0078053729,0.001366897,0.0590978152,0,0,"ZA7422001",-26.753985296,28.1967154347,4.0378338279
"74202002: Ward 2",1551.52801,5059.47745,5.258628879,0.8908411844,0.0047935841,0.0169027435,0.0125720644,0.0038197441,0.001374574,0.045405052,0.0040368527,0.0034280013,0.0091979454,0.0015238526,0.0061044016,0,0,0.2530537931,0.5810611351,0.0009695566,0.1010523962,0.0638631189,0.6716607714,0.3283392286,0.8412445226,0.1587554774,0.4670456384,0.5329543616,0.7147256027,0.146320913,0.0025645198,0.0087663421,0.0212568276,0.0050840507,0.0548039403,0.0147920908,0.004687405,0.0013801089,0.0032779591,0.0040118689,0.0112130117,0,0.0071153593,0.1649697164,0.0125070406,0.0052697517,0.8075908827,0.0096626085,0.9614752556,0.9177664862,0.0774399297,0.0007300481,0.0007300481,0,0.0007938046,0.0025396834,0,0,"ZA7422002",-26.6301631543,27.9851160381,43.3554470756
"74202003: Ward 3",1633.89116,5598.81966,6.8644474458,0.8575303388,0.0054852307,0.0045519433,0.0128387438,0.0858539011,0.0023511174,0.01504599,0.0015427833,0.0037376113,0.0046416923,0.0018081621,0.0046124859,0,0,0.2213960344,0.6459344218,0.0013042374,0.0501938975,0.0811714089,0.6815587521,0.3184412479,0.8823783709,0.1176216291,0.2808625759,0.7191374241,0.8330918431,0.0667534932,0.0023307698,0.0104303074,0.0206885178,0.003980055,0.040331099,0.0089869978,0.0039164862,0,0.0006536324,0.001267969,0.0050683022,0,0.002500527,0.141627698,0.0113754066,0.0090416182,0.8369074617,0.0010478155,0.9869139019,0.9441316397,0.048909641,0.0041592795,0.0006591565,0,0,0.0021402833,0,0,"ZA7422003",-26.5846371249,27.9853998375,39.0253020633
"74202004: Ward 4",2486.54071,8093.76153,8.7161440441,0.8363574188,0.0058211715,0.0171191084,0.0135997773,0.0130400157,0.0012598587,0.0149302281,0.0242663753,0.0395053174,0.0187043871,0.0021389716,0.0132573699,0,0,0.1926230139,0.6171518226,0.000896336,0.0332519285,0.1560768989,0.5040064194,0.4959935806,0.6510482147,0.3489517853,0.3823220373,0.6176779627,0.2567340442,0.2953140034,0.011640364,0.0277010015,0.0962126481,0.0098803838,0.1455080923,0.0146655247,0.0031425932,0.0028972907,0.0062558675,0.0134022963,0.030283079,0,0.0863628113,0.4705186539,0.0202264558,0.0145689096,0.4907168781,0.0039691026,0.8850542769,0.7511817412,0.1832870896,0.0227469833,0.0177761015,0.0042041298,0,0.0208039546,0,0,"ZA7422004",-26.5465542143,28.1580702659,8.6800151688
"74202005: Ward 5",3349.8105,10377.30868,10.4153599136,0.8240938734,0.0112482333,0.0008397818,0.0111289848,0.0053495683,0.0019132485,0.0419442652,0.0337965267,0.0396044552,0.0098125222,0.0060298366,0.014238704,0,0,0.2222929867,0.6423693354,0.0009895976,0.0499567601,0.0843913202,0.3791482205,0.6208517795,0.5308592829,0.4691407171,0.1581627916,0.8418372084,0.3013282708,0.2473083773,0.014863082,0.0438101009,0.1115377566,0.0185178215,0.1604940695,0.0178347369,0.0045951558,0.0061126302,0.0053223973,0.0182433602,0.0438649388,0,0.0061673023,0.4956219236,0.0191118407,0.0105538433,0.4687900842,0.0059223082,0.8877034656,0.6580929339,0.2952771657,0.0176083214,0.0050339445,0.0030560236,0,0.0209316109,0,0,"ZA7422005",-26.4779474481,28.002167214,21.6074034742
"74202006: Ward 6",2825.09555,9405.055,30.8987917241,0.761005149,0.0015875074,0.0004009387,0.0003693928,0,0.2026426363,0.0046757888,0.0226336345,0.0005228744,0.0013947811,0,0.0047672972,0,0,0.2958891022,0.5712625817,0,0.0088854908,0.1239628253,0.1487211928,0.8512788072,0.1151755451,0.8848244549,0.0103078673,0.9896921327,0.0151691043,0.0094345658,0.0048801575,0.0607209027,0.2184531063,0.0177304141,0.6124881301,0.0202404111,0.0075159837,0.0027915265,0.0036049624,0.0206720545,0.0062986809,0,0,0.9893966957,0.0048828773,0.0009660837,0.0010117623,0.003742581,0.9775167498,0.9602477693,0.0286186887,0.0026268917,0.0021587482,0.0013947811,0,0.004953121,0,0,"ZA7422006",-26.5173312142,27.8892877842,42.65140984
"74202007: Ward 7",2300.78162,6818.50267,11.6609224304,0.729433687,0.0085053574,0.0153266436,0.0084341729,0.0011343363,0.0025870469,0.0188121026,0.0648565769,0.1009216903,0.0392254177,0.0043444845,0.006418484,0,0,0.1908739107,0.6602118614,0.0008607564,0.0384902101,0.1095632613,0.2428286306,0.7571713694,0.3800379282,0.6199620718,0.0810093876,0.9189906124,0.1464295518,0.266521415,0.0199706543,0.0490736773,0.1556897535,0.0226722006,0.211562604,0.0272829724,0.0059381512,0.0030879903,0.0099930077,0.0208912949,0.0375678243,0,0.0233189027,0.6053024117,0.028606807,0.0088710957,0.3479502869,0.0092693987,0.7153791632,0.4303777427,0.2827725432,0.019627343,0.0121241841,0.0333777006,0.064706793,0.1570136935,0,0,"ZA7422007",-26.3768289768,27.9677109906,27.4453234133
"74202008: Ward 8",3170.68059,8556.62376,19.4896263581,0.1626458564,0.0003884371,0.000823123,0,0.0008055558,0,0.0032749246,0.0319517394,0.7984791682,0,0.0003884371,0.0012427584,0,0,0.2200542472,0.6365294832,0.0004087769,0.0215433266,0.1214641661,0.0611118448,0.9388881552,0.1077313341,0.8922686659,0.0213791324,0.9786208676,0.0209391455,0.0184522137,0.0103647025,0.1266860797,0.1711900454,0.036495017,0.5267959462,0.0150783958,0.0103070571,0.0083201555,0.0068490262,0.0409942975,0.0075279178,0,0,0.9793315442,0.0092871151,0.000303393,0.0108494101,0.0002285376,0.193159586,0.1547089043,0.0379982204,0.5018355728,0.2598925709,0.0414610763,0.0020065755,0.0020970797,0,0,"ZA7422008",-26.5459585179,28.001953264,33.3351840053
"74202009: Ward 9",244.30116,896.02641,8.1881068432,0.7055504362,0.0147762704,0.2285192588,0.0050413596,0.0379260581,0,0.0040933084,0,0,0,0,0.0040933084,0,0,0.1475427605,0.6134134261,0,0.0230400017,0.2160038118,0.5674309938,0.4325690062,0.7362005567,0.2637994433,0.4228482992,0.5771517008,0.6995781743,0.0764256156,0.0033481156,0.0049289061,0.0133924624,0.0011160385,0.0168560545,0,0,0,0,0,0.0080205448,0,0.1763340882,0.1315030435,0.0208300668,0.0122764239,0.8342744272,0.0011160385,0.9953635505,0.9959066916,0.0040933084,0,0,0,0,0,0,0,"ZA7422009",-26.5578669625,28.0108724963,33.2590655509
"74202010: Ward 10",2612.33728,8791.15771,16.5851187485,0.7511184658,0.0005654591,0.0004335926,0,0.0004335926,0.0009050516,0.0144670102,0.0956186982,0.128862342,0.0016023773,0.0025801071,0.0034133035,0,0,0.267714203,0.5778945979,0.0002630222,0.0333620246,0.1207661522,0.3182408092,0.6817591908,0.2964068484,0.7035931516,0.076859949,0.923140051,0.0353395128,0.0366058386,0.0162024997,0.107049539,0.1675823263,0.0350336645,0.5015635045,0.0190852565,0.0143315811,0.0065945774,0.0058741876,0.0256167478,0.0172906954,0,0.0118300687,0.9534559778,0.0134552756,0.0024761426,0.026608674,0.00400393,0.9452818321,0.65424372,0.3185454139,0.0059003101,0.0110209352,0.0003994775,0.0013386441,0.0085514991,0,0,"ZA7422010",-26.5561177213,27.9932353766,34.3277733972
"74202011: Ward 11",2080.89761,7170.18276,8.5363104435,0.7979465458,0.0072187117,0.0018936011,0.0013017363,0,0.0017556991,0.0625609446,0.0274161832,0.0286489733,0.0560667663,0.003265807,0.0119250317,0,0,0.2789590917,0.546547886,0.0005068741,0.0431579627,0.1308281855,0.3926947996,0.6073052004,0.5578691447,0.4421308553,0.0913421204,0.9086578796,0.1319221241,0.2333126499,0.012097548,0.0597104864,0.1865071679,0.0207343515,0.1837327881,0.0307698056,0.0032396552,0.005678964,0.0138400712,0.016561603,0.0481981982,0,0.0536945867,0.6584048298,0.0574826882,0.0310122765,0.2451786822,0.0079215233,0.9038658562,0.7440648702,0.216433489,0.0165886826,0.0010933647,0.0007098715,0,0.021109722,0,0,"ZA7422011",-26.481219914,27.9299470153,30.0633480042
"74202012: Ward 12",1188.42099,3856.33838,13.7622644985,0.586471836,0.0067674924,0.0184735377,0,0,0.0050487159,0.051322621,0.0081694787,0.2905733094,0.0196352978,0.0079737989,0.0055639122,0,0,0.1977109721,0.6160612052,0.0027805496,0.0364109256,0.1470363475,0.2134638332,0.7865361668,0.3776703994,0.6223296006,0.1026167335,0.8973832665,0.1900792015,0.1502607715,0.0045473292,0.0482214997,0.0924800458,0.0613321542,0.2880245172,0.0117186112,0.0077632607,0.0104660966,0.0059982885,0.0329725889,0.0211940789,0,0.0749415563,0.670533995,0.0130071366,0.0191601521,0.2926629587,0.0046357576,0.6010521406,0.4167802102,0.2170710398,0.0201297017,0.0081154238,0.0265237069,0.002319296,0.3090606217,0,0,"ZA7422012",-26.4172240948,28.0675496419,24.7898324124
"74202013: Ward 13",2109.82777,7334.13037,8.9934786478,0.7999439784,0.0080300251,0.0024476026,0.0079078777,0.0267520889,0.0097147645,0.0386331914,0.0106903513,0.0691777652,0.0076057677,0.00216794,0.0169286472,0,0,0.1895890092,0.6296758139,0.000852825,0.0672579577,0.1126243942,0.4023379975,0.5976620025,0.6295318409,0.3704681591,0.1748074773,0.8251925227,0.6224473727,0.0778226867,0.0048851095,0.0308548742,0.0389566609,0.0028673829,0.1587280784,0.008412512,0.0022207691,0.0015553937,0.0015018686,0.0045520612,0.0098808865,0,0.0353143436,0.3155819277,0.0088561093,0.0026140986,0.6706784638,0.0022694006,0.8130095046,0.6526007571,0.2269903197,0.0265816105,0.0083358368,0.0042746996,0.0005837491,0.0806330272,0,0,"ZA7422013",-26.5985716455,28.0509906418,27.1954266998
"74202014: Ward 14",1893.29691,6083.56593,5.9194265521,0.8695901479,0.0005982633,0.0347913735,0.0137615447,0.0510731199,0,0.0183024753,0.0013784737,0.001248774,0.0050975787,0.0007802104,0.0033780386,0,0,0.2406554802,0.649572952,0.0006058503,0.0440357157,0.0651300018,0.6919084656,0.3080915344,0.9156223099,0.0843776901,0.5237414347,0.4762585653,0.782359464,0.1773974972,0.0012259783,0.0040335422,0.0073712557,0.0028598063,0.0119124574,0.0029447285,0.0026427379,0.0011632931,0.0005882504,0.0005672791,0.00493371,0,0,0.0453162492,0.0027792203,0.0036271769,0.9405627597,0.0077145938,0.995525715,0.980635087,0.0147086808,0.0033552107,0,0,0,0.0013010215,0,0,"ZA7422014",-26.5587560273,28.0246270851,31.8682302254
"74203001: Ward 1",1902.33064,5795.12819,18.5164725097,0.7593575794,0.0138619804,0.0123236989,0.0006474216,0.0007765054,0.0005954223,0.0447517473,0.0376998501,0.0816645628,0.0401184675,0,0.0082027644,0,0,0.2359455279,0.6112823364,0.0067316199,0.044169016,0.1018714998,0.2346762601,0.7653237399,0.2316299968,0.7683700032,0.0838179319,0.9161820681,0.1021298254,0.0393657211,0.0131144312,0.0616754623,0.4651108434,0.0093130313,0.2427870625,0.0171721896,0.0129337553,0.0049670877,0.0059443551,0.0065010106,0.0146712561,0,0.0043139684,0.8874257965,0.0099046938,0.0015678808,0.0965061586,0.0045954704,0.8347918898,0.40240102,0.4840148871,0.0924493284,0.0087558964,0.0025562118,0,0.0098226563,0,0,"ZA7423001",-26.5715491954,28.2635195913,9.4987491471
"74203002: Ward 2",2332.10523,8117.31523,22.4807733054,0.6149219562,0.0038854122,0.0075353418,0.0004856942,0.00090929,0.0022806175,0.0065464284,0.1425441467,0.2182300968,0,0,0.0026610163,0,0,0.2784342355,0.573466752,0.0001402939,0.0233205419,0.1246381767,0.1775280269,0.8224719731,0.1489255097,0.8510744903,0.0204970725,0.9795029275,0.0093595343,0.0107762293,0.0078804282,0.0590156704,0.5008375793,0.0107250781,0.354214609,0.0075531501,0.0127505397,0.0034048869,0.0053461186,0.0148048803,0.003331296,0,0,0.9925015158,0.0045601247,0.0022386885,0.000458765,0.000240906,0.9247965067,0.1765787558,0.7175554938,0.1019855481,0.0019188928,0,0.0004856942,0.0014756152,0,0,"ZA7423002",-26.5559756579,28.3160673966,17.0003486539
"74203003: Ward 3",2135.95064,6912.26554,16.8675939066,0.8818818117,0.001512961,0.065606708,0,0.0018727025,0,0.0222962409,0.0157672745,0.0081143355,0.0005302978,0.0013831499,0.0010345183,0,0,0.2874865539,0.5955641542,0,0.0189307499,0.098018542,0.3781427365,0.6218572635,0.3053654976,0.6946345024,0.1334106813,0.8665893187,0.0100256232,0.0141437593,0.0129724834,0.0429102352,0.6242522,0.0168037627,0.235449262,0.0089458803,0.0110975251,0.000967146,0.003246147,0.0062866885,0.0126099467,0,0.0002893407,0.9918734936,0.0020030553,0.0012282587,0.0005069568,0.0043882356,0.9860668035,0.6839078173,0.3124526417,0.0019134478,0.0005302978,0,0,0.0011957954,0,0,"ZA7423003",-26.5566597975,28.3307723354,18.4321287211
